,title,year,kind,genre,rating,runtime
149,The Crawling Eye,1958,movie,"['Horror', 'Sci-Fi']",5.2,125
150,The Spider Woman,1943,movie,"['Mystery', 'Thriller']",7.1,60
151,Care Bears: Journey to Joke-a-Lot,2004,video movie,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",4.2,142
152,Tokyo Drifter,1966,movie,"['Action', 'Crime']",7.2,115
153,The Valley (Obscured by Clouds),1972,movie,['Drama'],6.5,80
154,Boyz n the Hood,1991,movie,"['Crime', 'Drama']",7.8,30
155,Look Back in Anger,1959,movie,['Drama'],7.0,138
156,Dracula vs. Frankenstein,1971,movie,"['Horror', 'Sci-Fi']",3.6,98
157,Spies,1928,movie,"['Romance', 'Thriller']",7.6,95
158,The Scarlet Claw,1944,movie,"['Crime', 'Mystery', 'Thriller']",7.3,25
159,Eyes Without a Face,1960,movie,"['Drama', 'Horror']",7.7,33
160,The Mouse That Roared,1959,movie,['Comedy'],7.0,107
161,Tiger Bay,1959,movie,"['Crime', 'Drama', 'Thriller']",7.5,60
162,Marlene Dietrich: Her Own Song,2001,movie,"['Documentary', 'Biography']",7.9,180
163,Predator Island,2005,video movie,"['Action', 'Comedy', 'Horror', 'Sci-Fi']",2.3,90
164,Return to a Better Tomorrow,1994,movie,"['Action', 'Crime', 'Thriller']",5.9,30
165,"Niagara: Miracles, Myths and Magic",1986,movie,"['Documentary', 'Short']",5.5,50
166,Cirque du Soleil: Baroque Odyssey,1994,video movie,"['Documentary', 'Fantasy']",6.2,113
167,Mansfield Park,1999,movie,"['Comedy', 'Drama', 'Romance']",7.1,173
168,If We Had No Moon,1999,tv movie,"['Documentary', 'Sci-Fi']",7.4,86
169,Enduring Love,2004,movie,"['Drama', 'Mystery', 'Romance', 'Thriller']",6.3,183
170,Stoked: The Rise and Fall of Gator,2002,movie,"['Documentary', 'Sport']",7.2,110
171,Dragon Ball: The Magic Begins,1991,movie,"['Action', 'Fantasy', 'Sci-Fi']",4.2,60
172,Invitation to Hell,1984,tv movie,"['Horror', 'Sci-Fi', 'Thriller']",5.1,360
173,Devil in the Flesh 2,2000,movie,"['Horror', 'Thriller']",4.6,54
174,My Dream Girl,2003,movie,"['Comedy', 'Romance']",4.8,77
175,Seven Samurai,1954,movie,"['Action', 'Adventure', 'Drama']",8.6,170
176,Zakhm,1998,movie,['Drama'],7.9,95
177,A Love Divided,1999,movie,"['Biography', 'Drama', 'Romance']",6.9,50
178,The Mating Habits of the Earthbound Human,1999,movie,"['Comedy', 'Sci-Fi']",6.4,82
179,Cup Final,1991,movie,"['Drama', 'War']",6.8,24
180,The Maldonado Miracle,2003,tv movie,"['Drama', 'Family']",6.6,101
181,Dersu Uzala,1975,movie,"['Adventure', 'Biography', 'Drama']",8.3,90
182,Eat Drink Man Woman,1994,movie,"['Comedy', 'Drama', 'Romance']",7.8,106
183,Fascination,1979,movie,['Horror'],6.0,139
184,Too Young to Die?,1990,tv movie,"['Crime', 'Drama']",5.9,25
185,Gojoe: Spirit War Chronicle,2000,movie,"['Action', 'History']",6.3,96
186,Taxi zum Klo,1980,movie,"['Comedy', 'Drama', 'Romance']",6.5,240
187,Changes,1991,tv movie,"['Drama', 'Romance']",6.0,96
188,A Dangerous Man: Lawrence After Arabia,1992,tv movie,"['Adventure', 'Biography', 'Drama', 'War']",6.9,90
189,Screw Loose,1999,movie,"['Comedy', 'Romance']",4.2,121
190,Aap Mujhe Achche Lagne Lage,2002,movie,"['Action', 'Drama', 'Romance']",3.1,84
191,I Capture the Castle,2003,movie,"['Drama', 'Romance']",6.9,97
192,Young and Dangerous 2,1996,movie,"['Action', 'Crime']",6.7,100
193,Main Hoon Na,2004,movie,"['Action', 'Comedy', 'Drama', 'Musical', 'Romance', 'Thriller']",7.0,87
194,Dottie Gets Spanked,1993,tv movie,"['Comedy', 'Drama']",7.2,56
195,Yesterday Once More,2004,movie,"['Comedy', 'Crime', 'Romance']",6.2,78
196,Unprecedented: The 2000 Presidential Election,2002,movie,['Documentary'],7.7,107
197,Our Lady of the Assassins,2000,movie,"['Crime', 'Drama']",6.8,150
198,Yi Yi: A One and a Two...,2000,movie,"['Drama', 'Romance']",8.2,47
199,A Moment of Romance,1990,movie,"['Action', 'Crime', 'Romance']",7.4,701
200,How I Got Into College,1989,movie,"['Comedy', 'Romance']",5.8,93
